epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
45,3270.65,0.93619,1.53049,0.26052,0.28975,0.04493,13.2448,0.94749,0.96829,0.9876,0.72632,0.93796,0.9588,0.97708,0.47062,1.14728,1.9101,0.13003,0.40329,0.05847,0,0.0014192,0.0014192,0.0014192
46,3342.96,0.93827,1.53199,0.26727,0.30347,0.04458,13.2932,0.97591,0.98825,0.99407,0.71322,0.97591,0.98825,0.99243,0.7368,1.20064,1.0051,0.26404,0.33834,0.06059,0,0.001406,0.001406,0.001406
47,3418.25,0.87146,1.50318,0.27101,0.30114,0.04113,13.1887,0.976,0.99183,0.99466,0.72274,0.976,0.99183,0.99426,0.68941,1.18549,1.21547,0.11817,0.34555,0.06202,0,0.0013928,0.0013928,0.0013928
48,3489.64,0.91217,1.50222,0.27241,0.30891,0.044,13.112,0.96545,0.98537,0.98918,0.74969,0.9591,0.98049,0.98753,0.63599,1.04206,1.32499,0.09061,0.35385,0.05313,0,0.0013796,0.0013796,0.0013796
49,3564.77,0.85139,1.38649,0.24057,0.29415,0.04032,12.7846,0.98469,1,0.99351,0.74205,0.98469,1,0.9926,0.65145,1.08598,1.35972,0.11207,0.3779,0.05499,0,0.0013664,0.0013664,0.0013664
50,3637.72,0.89786,1.45723,0.24829,0.31072,0.04225,13.0046,0.99023,0.98916,0.99441,0.73035,0.99023,0.98916,0.99386,0.69196,1.14896,1.19007,0.15781,0.32349,0.05909,0,0.0013532,0.0013532,0.0013532
51,3706.94,0.90575,1.45568,0.26813,0.30698,0.04307,12.9866,0.98378,0.99024,0.99466,0.70976,0.96386,0.97073,0.98036,0.52138,1.23308,1.79377,0.078,0.40057,0.06305,0,0.00134,0.00134,0.00134
52,3786.24,0.78582,1.44854,0.25854,0.27891,0.03679,12.9117,0.98526,0.97798,0.99396,0.70859,0.95577,0.9488,0.97323,0.54021,1.18026,1.76412,0.08618,0.35252,0.06208,0,0.0013268,0.0013268,0.0013268
53,3864.74,0.86255,1.41983,0.26371,0.28063,0.04152,12.898,0.9791,1,0.99441,0.7158,0.9791,1,0.99071,0.60534,1.21205,1.5031,0.14104,0.33977,0.06192,0,0.0013136,0.0013136,0.0013136
54,3938.52,0.92193,1.39834,0.25009,0.30642,0.04321,12.7438,0.99023,0.9887,0.99471,0.71417,0.99023,0.9887,0.99212,0.74427,1.21849,1.01255,0.24262,0.3328,0.06259,0,0.0013004,0.0013004,0.0013004
55,4008.26,0.85354,1.43514,0.2646,0.29826,0.0401,12.9538,0.98555,0.99836,0.9941,0.71676,0.98555,0.99836,0.99258,0.64958,1.22586,1.32813,0.25136,0.33336,0.06267,0,0.0012872,0.0012872,0.0012872
56,4078.99,0.82287,1.38444,0.2706,0.26423,0.03911,12.8595,0.97585,0.97073,0.99387,0.66891,0.97094,0.96585,0.99052,0.5881,1.37433,1.57559,0.08959,0.39975,0.06988,0,0.001274,0.001274,0.001274
