epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1310.72,0.22758,0.67536,0.19155,0.16345,0.95562,0.99946,1,0.995,0.90626,0.99515,0.99999,0.99495,0.8909,0.51982,0.52832,0.12475,0.60187,1.02948,0.0003566,0.0003566,0.0003566
85,1326.09,0.22512,0.67055,0.1943,0.1693,0.9463,0.99962,1,0.995,0.88307,0.99514,0.99983,0.995,0.88992,0.59644,0.52636,0.08586,0.65463,1.11039,0.0003368,0.0003368,0.0003368
86,1341.66,0.21931,0.61296,0.1757,0.16108,0.96496,0.99973,1,0.995,0.90044,0.99514,0.99972,0.995,0.8895,0.52371,0.53381,0.09571,0.70975,1.0213,0.000317,0.000317,0.000317
87,1357.19,0.2145,0.66105,0.19142,0.1521,0.93094,0.9997,1,0.995,0.91032,0.99514,0.99974,0.99481,0.89662,0.50965,0.53152,0.0918,0.70305,1.02554,0.0002972,0.0002972,0.0002972
88,1372.47,0.21792,0.68783,0.17626,0.15817,0.94837,0.99961,1,0.995,0.91946,0.99514,0.99983,0.995,0.9012,0.48285,0.51923,0.08708,0.5889,0.9864,0.0002774,0.0002774,0.0002774
89,1388.14,0.20973,0.62882,0.17755,0.15512,0.95535,0.99854,1,0.995,0.91967,0.99491,1,0.99476,0.8852,0.4764,0.54199,0.0948,0.67402,0.99189,0.0002576,0.0002576,0.0002576
90,1403.59,0.2107,0.63882,0.18856,0.14946,0.9391,0.99914,1,0.995,0.9244,0.995,1,0.99427,0.89454,0.46226,0.52174,0.09789,0.68093,0.9728,0.0002378,0.0002378,0.0002378
91,1454.8,0.22023,0.64157,0.17727,0.15537,0.94027,0.99946,1,0.995,0.91679,0.99511,1,0.99427,0.88645,0.47588,0.53971,0.09294,0.66779,0.98535,0.000218,0.000218,0.000218
92,1469.23,0.21839,0.60582,0.18085,0.1587,0.94231,0.99957,1,0.995,0.91294,0.99514,0.99986,0.99476,0.89342,0.50232,0.52964,0.10424,0.73139,1.03286,0.0001982,0.0001982,0.0001982
93,1483.59,0.20976,0.60424,0.17737,0.15282,0.95785,0.99903,1,0.995,0.90557,0.99497,1,0.99485,0.89013,0.52336,0.52799,0.10715,0.76462,1.04323,0.0001784,0.0001784,0.0001784
94,1499.71,0.20449,0.62673,0.17643,0.14707,0.9226,0.99911,1,0.995,0.91265,0.995,1,0.99466,0.89356,0.51894,0.52892,0.09381,0.75445,1.04385,0.0001586,0.0001586,0.0001586
95,1514.61,0.19983,0.64473,0.17251,0.14592,0.94401,0.99901,1,0.995,0.91819,0.99497,1,0.9949,0.89548,0.49052,0.52058,0.08874,0.71103,1.01005,0.0001388,0.0001388,0.0001388
96,1529.76,0.19556,0.62459,0.17248,0.14573,0.92646,0.9991,1,0.995,0.9157,0.99499,1,0.99481,0.89387,0.49579,0.52485,0.10146,0.74552,1.01146,0.000119,0.000119,0.000119
97,1544.76,0.20432,0.62201,0.17869,0.14765,0.9319,0.99911,1,0.995,0.9165,0.99499,1,0.99495,0.89928,0.49313,0.51009,0.08157,0.69255,0.99611,9.92e-05,9.92e-05,9.92e-05
98,1564.14,0.20108,0.61543,0.18198,0.14217,0.94883,0.99921,1,0.995,0.92097,0.99501,1,0.995,0.90003,0.48427,0.51056,0.08262,0.68457,0.97846,7.94e-05,7.94e-05,7.94e-05
99,1580,0.20572,0.60698,0.18178,0.14766,0.94546,0.99894,1,0.995,0.91949,0.99496,1,0.995,0.90051,0.47549,0.51099,0.09217,0.7075,0.98301,5.96e-05,5.96e-05,5.96e-05
100,1595.93,0.19428,0.60219,0.17166,0.13883,0.93211,0.9986,1,0.995,0.9179,0.99493,1,0.995,0.90098,0.48337,0.51049,0.09232,0.72155,0.99328,3.98e-05,3.98e-05,3.98e-05
