epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1752.74,0.26208,0.92059,0.20173,0.1845,0.98565,0.99461,1,0.9917,0.84672,0.99461,1,0.99301,0.85569,0.68687,0.61077,0.08439,0.39161,1.29094,0.0010496,0.0010496,0.0010496
74,1776.13,0.26776,0.84931,0.18639,0.19163,0.99969,0.99486,1,0.99102,0.86564,0.99486,1,0.99437,0.86834,0.64443,0.58346,0.05066,0.37748,1.15551,0.0010364,0.0010364,0.0010364
75,1799.43,0.26959,0.86152,0.19166,0.2063,0.99164,0.99497,1,0.995,0.84944,0.99932,1,0.995,0.87871,0.72773,0.58202,0.08708,0.40873,1.31133,0.0010232,0.0010232,0.0010232
76,1825.81,0.28123,0.85817,0.20249,0.20833,1.00092,0.99449,1,0.99039,0.8438,0.99449,1,0.99204,0.84473,0.71272,0.65167,0.08803,0.4043,1.33933,0.00101,0.00101,0.00101
77,1850.24,0.27051,0.82996,0.18903,0.19419,0.99241,0.9949,1,0.99214,0.84219,0.9974,1,0.995,0.86656,0.68896,0.60243,0.11712,0.39214,1.23348,0.0009968,0.0009968,0.0009968
78,1874.84,0.25932,0.8413,0.19559,0.18644,0.99853,0.99514,0.99968,0.99228,0.87043,0.99964,1,0.995,0.85556,0.59451,0.59981,0.07905,0.38851,1.16431,0.0009836,0.0009836,0.0009836
79,1899.94,0.27224,0.82771,0.18356,0.19355,1.00125,0.99515,0.99996,0.9934,0.86286,0.9994,1,0.995,0.86928,0.6323,0.57811,0.064,0.3792,1.16504,0.0009704,0.0009704,0.0009704
80,1923.55,0.27744,0.8054,0.19322,0.1918,1.01283,0.99381,0.99512,0.99188,0.8654,0.99868,1,0.995,0.87073,0.61866,0.59211,0.1026,0.40245,1.1681,0.0009572,0.0009572,0.0009572
81,1948.4,0.25874,0.82297,0.20155,0.19278,0.98305,0.99514,0.99982,0.99417,0.87277,0.99953,1,0.995,0.88847,0.65384,0.55848,0.07584,0.3961,1.19454,0.000944,0.000944,0.000944
82,1974.04,0.27143,0.86524,0.18647,0.19896,0.98919,0.99427,1,0.99218,0.82951,0.99427,1,0.99272,0.86408,0.75223,0.59702,0.07392,0.41393,1.35746,0.0009308,0.0009308,0.0009308
83,2000.69,0.26489,0.84706,0.18324,0.18383,1.00372,0.99454,1,0.99097,0.87384,0.99477,1,0.995,0.86127,0.60403,0.61877,0.07174,0.37394,1.15322,0.0009176,0.0009176,0.0009176
84,2025.54,0.2461,0.84548,0.19089,0.17415,0.9734,0.99481,1,0.99121,0.86231,0.99481,1,0.9915,0.87747,0.64186,0.58498,0.05889,0.36649,1.16488,0.0009044,0.0009044,0.0009044
85,2048.8,0.25619,0.81829,0.19128,0.18403,0.97473,0.98689,1,0.995,0.80264,0.98164,0.99512,0.99363,0.84111,0.86669,0.64868,0.13275,0.43875,1.53825,0.0008912,0.0008912,0.0008912
86,2072.86,0.25771,0.74791,0.17798,0.18275,0.99785,0.99479,1,0.99282,0.86024,0.99479,1,0.99112,0.87258,0.6377,0.58276,0.07928,0.37217,1.18888,0.000878,0.000878,0.000878
87,2095.82,0.24409,0.7945,0.1953,0.16742,0.96278,0.99486,1,0.99301,0.87942,0.99486,1,0.9933,0.85615,0.57807,0.63642,0.0517,0.37629,1.14134,0.0008648,0.0008648,0.0008648
88,2118.42,0.25713,0.83387,0.17897,0.1725,0.977,0.99499,1,0.995,0.91046,0.99898,1,0.995,0.8827,0.5294,0.572,0.07913,0.37268,1.09835,0.0008516,0.0008516,0.0008516
89,2141.53,0.24877,0.76742,0.18002,0.1789,0.98416,0.99456,1,0.99481,0.88667,0.9948,1,0.995,0.88374,0.61062,0.55092,0.06915,0.38424,1.15975,0.0008384,0.0008384,0.0008384
90,2164.67,0.24955,0.76578,0.18767,0.16645,0.96747,0.99515,0.99993,0.995,0.88998,0.99948,1,0.995,0.8868,0.55909,0.57587,0.06794,0.37425,1.09286,0.0008252,0.0008252,0.0008252
91,2187.87,0.26028,0.78662,0.17389,0.17244,0.98395,0.9949,1,0.99379,0.8745,0.99832,1,0.995,0.86658,0.62513,0.60405,0.07897,0.36356,1.15227,0.000812,0.000812,0.000812
92,2211.36,0.25097,0.76191,0.17953,0.17436,0.98464,0.99514,0.99973,0.99447,0.87619,0.9997,1,0.995,0.88712,0.64409,0.55568,0.05133,0.36195,1.15993,0.0007988,0.0007988,0.0007988
93,2234.25,0.24659,0.76462,0.1844,0.17333,0.96941,0.99514,0.99985,0.995,0.87256,0.99947,1,0.995,0.88423,0.64539,0.56717,0.07084,0.36815,1.21402,0.0007856,0.0007856,0.0007856
94,2258.52,0.25276,0.78412,0.18458,0.17478,0.98154,0.99497,1,0.99141,0.87206,0.99886,1,0.995,0.85479,0.57934,0.60316,0.04833,0.38975,1.15572,0.0007724,0.0007724,0.0007724
95,2286.79,0.25524,0.72867,0.17199,0.17651,0.98297,0.99089,1,0.99175,0.82988,0.99117,1,0.995,0.87361,0.73992,0.56715,0.06338,0.41993,1.32653,0.0007592,0.0007592,0.0007592
96,2313.07,0.24766,0.7347,0.18024,0.16765,0.96942,0.99484,1,0.99223,0.87827,0.99509,1,0.995,0.88405,0.6112,0.55822,0.05177,0.37562,1.17252,0.000746,0.000746,0.000746
97,2335.86,0.24657,0.72399,0.18396,0.16033,0.97599,0.99502,1,0.9949,0.86393,0.9992,1,0.995,0.88524,0.63053,0.54761,0.06612,0.36923,1.18566,0.0007328,0.0007328,0.0007328
98,2358.64,0.25096,0.74362,0.17938,0.17457,0.979,0.99491,1,0.99286,0.84819,0.99858,1,0.995,0.87568,0.66803,0.56149,0.04429,0.37639,1.23494,0.0007196,0.0007196,0.0007196
99,2383.61,0.25077,0.74738,0.17717,0.16585,0.98072,0.9948,1,0.9935,0.87767,0.99822,1,0.995,0.87507,0.59598,0.57066,0.05354,0.38128,1.15356,0.0007064,0.0007064,0.0007064
100,2406.59,0.25128,0.69028,0.16444,0.17017,0.98833,0.9947,1,0.99194,0.88294,0.99799,1,0.995,0.89276,0.55178,0.53139,0.05902,0.34654,1.10902,0.0006932,0.0006932,0.0006932
101,2429.06,0.25364,0.7235,0.18796,0.16992,0.97596,0.99513,1,0.99432,0.85389,0.99966,1,0.995,0.89164,0.69143,0.5427,0.04231,0.40709,1.20888,0.00068,0.00068,0.00068
102,2452.61,0.24472,0.719,0.1736,0.16419,0.96193,0.99471,0.99512,0.99149,0.85866,0.99958,1,0.995,0.88401,0.6428,0.54433,0.04436,0.39672,1.1877,0.0006668,0.0006668,0.0006668
103,2475.67,0.24969,0.70631,0.18572,0.16556,0.97909,0.99514,0.99983,0.99267,0.81872,0.99856,1,0.995,0.88245,0.79496,0.54069,0.08079,0.43632,1.43634,0.0006536,0.0006536,0.0006536
104,2498.78,0.24171,0.72304,0.18666,0.165,0.97629,0.99514,0.99983,0.995,0.85067,0.99936,1,0.995,0.88992,0.70289,0.53141,0.06516,0.35512,1.27747,0.0006404,0.0006404,0.0006404
105,2521.93,0.23809,0.71435,0.17033,0.15574,0.96289,0.99021,1,0.995,0.87049,0.99559,1,0.995,0.88477,0.64858,0.53712,0.05533,0.35466,1.20607,0.0006272,0.0006272,0.0006272
106,2544.76,0.24558,0.70243,0.16558,0.15475,0.98813,0.99514,0.99974,0.99495,0.85702,0.9997,1,0.995,0.89246,0.69128,0.51938,0.05084,0.37354,1.26385,0.000614,0.000614,0.000614
107,2567.68,0.2479,0.71794,0.17805,0.15977,0.97381,0.99514,0.99985,0.995,0.86259,0.99954,1,0.995,0.88772,0.6441,0.55082,0.05725,0.36674,1.22782,0.0006008,0.0006008,0.0006008
108,2590.57,0.24009,0.76603,0.18228,0.15256,0.96457,0.99007,1,0.995,0.88313,0.99813,1,0.995,0.88935,0.58902,0.53898,0.05763,0.36302,1.19154,0.0005876,0.0005876,0.0005876
109,2613.29,0.23959,0.75388,0.1859,0.15487,0.97814,0.99486,1,0.99432,0.8786,0.99781,1,0.995,0.88343,0.60022,0.56363,0.04935,0.36031,1.17597,0.0005744,0.0005744,0.0005744
110,2636.08,0.24072,0.6911,0.17043,0.15879,0.97058,0.99514,0.99939,0.99495,0.80451,0.99514,0.99939,0.99481,0.84245,0.92615,0.65053,0.11386,0.40058,1.68944,0.0005612,0.0005612,0.0005612
111,2659,0.22536,0.73459,0.17952,0.15039,0.96546,0.99016,1,0.99407,0.81674,0.99809,1,0.995,0.86495,0.83918,0.56236,0.07426,0.4509,1.52251,0.000548,0.000548,0.000548
112,2681.85,0.2416,0.70587,0.1629,0.15805,0.98541,0.99485,1,0.99194,0.88666,0.99722,1,0.995,0.88702,0.56407,0.53256,0.04451,0.36164,1.11901,0.0005348,0.0005348,0.0005348
